Bin,p
SRR14355344,p__Bacillota_A
SRR14355346,p__Bacillota_A
SRR14355349,p__Bacillota_A
SRR14355351,p__Bacillota_A
SRR14355363,p__Bacillota_A
SRR14355365,p__Bacillota_A
SRR14355367,p__Bacillota_A
SRR14355391,p__Bacillota_A
SRR14355395,p__Bacillota_A
SRR14355412,p__Bacillota_A
SRR14355414,p__Bacillota_A
SRR14355428,p__Bacillota_A
SRR14355440,p__Bacillota_A
SRR14355446,p__Bacillota_A
SRR14693227,p__Bacillota_A
SRR14693228,p__Bacillota_A
SRR15910048,p__Bacillota_A
SRR15910053,p__Bacillota_A
SRR15910057,p__Bacillota_A
SRR15910058,p__Bacillota_A
SRR15910063,p__Bacillota_A
SRR15910077,p__Bacillota_A
SRR15910082,p__Bacillota_A
SRR15910085,p__Bacillota_A
SRR16124179,p__Bacillota_A
SRR16124206,p__Bacillota_A
SRR16124219,p__Bacillota_A
SRR16124264,p__Bacillota_A
SRR16124271,p__Bacillota_A
SRR16124272,p__Bacillota_A
SRR16124275,p__Bacillota_A
SRR16124278,p__Bacillota_A
SRR16124291,p__Bacillota_A
SRR16124293,p__Bacillota_A
SRR16124296,p__Bacillota_A
SRR16124313,p__Bacillota_A
SRR16124316,p__Bacillota_A
SRR16124319,p__Bacillota_A
SRR16124325,p__Bacillota_A
SRR16124326,p__Bacillota_A
SRR16124329,p__Bacillota_A
SRR16124340,p__Bacillota_A
SRR16124351,p__Bacillota_A
SRR16124356,p__Bacillota_A
SRR16124360,p__Bacillota_A
SRR16124367,p__Bacillota_A
SRR17827813,p__Bacillota_A
SRR17827826,p__Bacillota_A
SRR17827828,p__Bacillota_A
SRR17827852,p__Bacillota_A
SRR17827857,p__Bacillota_A
SRR17827858,p__Bacillota_A
SRR17827869,p__Bacillota_A
SRR17827888,p__Bacillota_A
SRR17827908,p__Bacillota_A
SRR17827917,p__Bacillota_A
SRR17827922,p__Bacillota_A
SRR17827928,p__Bacillota_A
SRR18191115,p__Bacillota_A
SRR18191128,p__Bacillota_A
SRR18191137,p__Bacillota_A
SRR18191146,p__Bacillota_A
SRR19039954,p__Bacillota_A
SRR19039981,p__Bacillota_A
SRR19039982,p__Bacillota_A
SRR19039991,p__Bacillota_A
SRR19580924,p__Bacillota_A
SRR19580934,p__Bacillota_A
SRR21615056,p__Bacillota_A
SRR21615058,p__Bacillota_A
SRR21615069,p__Bacillota_A
SRR21615074,p__Bacillota_A
SRR21615086,p__Bacillota_A
SRR23364216,p__Bacillota_A
SRR23999411,p__Bacillota_A
SRR23999418,p__Bacillota_A
SRR23999422,p__Bacillota_A
SRR23999426,p__Bacillota_A
SRR23999430,p__Bacillota_A
SRR23999439,p__Bacillota_A
SRR3131860,p__Firmicutes_A
SRR3132425,p__Firmicutes_A
SRR4305044,p__Firmicutes_A
SRR4408084,p__Firmicutes_A
SRR5273928,p__Firmicutes_A
SRR5274043,p__Firmicutes_A
SRR5723884,p__Firmicutes_A
SRR5723885,p__Firmicutes_A
SRR5963198,p__Firmicutes_A
SRR5963204,p__Firmicutes_A
SRR5963215,p__Firmicutes_A
SRR5963216,p__Firmicutes_A
SRR5963357,p__Firmicutes_A
SRR5963393,p__Firmicutes_A
SRR5963396,p__Firmicutes_A
SRR5963432,p__Firmicutes_A
SRR6277114,p__Firmicutes_A
SRR6277159,p__Firmicutes_A
SRR6915094,p__Bacillota_A
SRR6915113,p__Bacillota_A
SRR6915125,p__Bacillota_A
SRR6915202,p__Bacillota_A
SRR6915208,p__Bacillota_A
SRR6915221,p__Bacillota_A
SRR6915225,p__Bacillota_A
SRR7217625,p__Firmicutes_A
SRR7217634,p__Firmicutes_A
SRR7280941,p__Firmicutes_A
SRR7351743,p__Firmicutes_A
SRR7411281,p__Firmicutes_A
SRR8692181,p__Firmicutes_A
SRR8692184,p__Firmicutes_A
SRR8692189,p__Firmicutes_A
SRR8692190,p__Firmicutes_A
SRR8692192,p__Firmicutes_A
SRR8692210,p__Firmicutes_A
SRR8692215,p__Firmicutes_A
SRR8692226,p__Firmicutes_A
SRR8942395,p__Firmicutes_A
SRR8942397,p__Firmicutes_A
SRR8942406,p__Firmicutes_A
SRR8942411,p__Firmicutes_A
SRR9061436,p__Firmicutes_A
SRR9061443,p__Firmicutes_A
SRR9865459,p__Bacillota_A
SRR9865460,p__Bacillota_A
SRR9865572,p__Bacillota_A
SRR9865616,p__Firmicutes_A
SRR9865616,p__Bacillota_A
SRR9865617,p__Firmicutes_A
SRR9865617,p__Bacillota_A
SRR9865618,p__Bacillota_A
SRR9865618,p__Firmicutes_A
SRR9865627,p__Bacillota_A
SRR9865627,p__Firmicutes_A
SRR9865628,p__Bacillota_A
SRR9865637,p__Firmicutes_A
SRR9865637,p__Bacillota_A
SRR9865686,p__Bacillota_A
SRR9865687,p__Bacillota_A
SRR9865689,p__Bacillota_A
SRR9865689,p__Firmicutes_A
SRR9865690,p__Bacillota_A
SRR9865715,p__Bacillota_A
SRR9865718,p__Bacillota_A
SRR9865719,p__Firmicutes_A
SRR9865719,p__Bacillota_A
SRR9865802,p__Bacillota_A
SRR9865815,p__Firmicutes_A
SRR9865815,p__Bacillota_A
SRR9865824,p__Bacillota_A
SRR12557704,p__Bacillota_A
SRR17827825,p__Bacillota_A
SRR17827883,p__Bacillota_A
SRR12672312,p__Bacillota_A
SRR18191191,p__Bacillota_A
SRR19580928,p__Bacillota_A
SRR23364187,p__Bacillota_A
SRR23364189,p__Bacillota_A
SRR19580954,p__Bacillota_A
ERR4283462,p__Bacillota_A
SRR12328927,p__Bacillota_A
SRR23364235,p__Bacillota_A
SRR9865497,p__Firmicutes_A
SRR9865497,p__Bacillota_A
SRR5963138,p__Proteobacteria
SRR5963380,p__Proteobacteria
ERR4283266,p__Bacillota_A
SRR14693208,p__Bacillota_A
SRR17827942,p__Bacillota_A
SRR20677903,p__Bacillota_A
SRR23364173,p__Bacillota_A
SRR23364234,p__Bacillota_A
SRR23364235,p__Bacillota_A
SRR23364236,p__Bacillota_A
SRR17648386,p__Bacillota_A
SRR17648422,p__Bacillota_A
SRR18191175,p__Bacillota_A
SRR19580952,p__Bacillota_A
CRR057334,p__Bacillota_A
SRR13077846,p__Bacillota_A
SRR18191165,p__Bacillota_A
ERR4283155,p__Bacillota_A
ERR4283269,p__Bacillota_A
SRR20677876,p__Bacillota_A
SRR20677900,p__Bacillota_A
SRR21615071,p__Bacillota_A
SRR23364189,p__Bacillota_A
SRR23364232,p__Bacillota_A
SRR17827919,p__Bacillota
CRR029084,p__Bacillota_A
CRR029087,p__Bacillota_A
CRR029091,p__Bacillota_A
CRR057274,p__Bacillota_A
CRR057279,p__Bacillota_A
CRR057280,p__Bacillota_A
CRR057281,p__Bacillota_A
CRR057283,p__Bacillota_A
CRR057285,p__Bacillota_A
CRR057286,p__Bacillota_A
CRR057288,p__Bacillota_A
CRR057290,p__Bacillota_A
CRR057292,p__Bacillota_A
CRR057294,p__Bacillota_A
CRR057298,p__Bacillota_A
CRR057299,p__Bacillota_A
CRR057300,p__Bacillota_A
CRR057302,p__Bacillota_A
CRR057303,p__Bacillota_A
CRR057304,p__Bacillota_A
CRR057305,p__Bacillota_A
CRR057306,p__Bacillota_A
CRR057310,p__Bacillota_A
CRR057313,p__Bacillota_A
CRR057314,p__Bacillota_A
CRR057317,p__Bacillota_A
CRR057318,p__Bacillota_A
CRR057319,p__Bacillota_A
CRR057323,p__Bacillota_A
CRR057328,p__Bacillota_A
CRR057329,p__Bacillota_A
CRR057330,p__Bacillota_A
CRR057332,p__Bacillota_A
CRR057333,p__Bacillota_A
CRR057334,p__Bacillota_A
CRR057335,p__Bacillota_A
CRR057336,p__Bacillota_A
CRR057338,p__Bacillota_A
CRR057342,p__Bacillota_A
CRR057343,p__Bacillota_A
CRR057344,p__Bacillota_A
CRR057345,p__Bacillota_A
CRR057347,p__Bacillota_A
CRR191908,p__Bacillota_A
CRR191914,p__Bacillota_A
CRR191931,p__Bacillota_A
CRR476061,p__Bacillota_A
CRR476064,p__Bacillota_A
CRR476068,p__Bacillota_A
CRR476070,p__Bacillota_A
CRR476073,p__Bacillota_A
CRR476075,p__Bacillota_A
CRR476084,p__Bacillota_A
CRR476085,p__Bacillota_A
CRR476087,p__Bacillota_A
CRR476090,p__Bacillota_A
CRR476095,p__Bacillota_A
ERR1995224,p__Bacillota_A
ERR1995229,p__Bacillota_A
ERR1995235,p__Bacillota_A
ERR1995240,p__Bacillota_A
ERR1995241,p__Bacillota_A
ERR1995244,p__Bacillota_A
ERR1995244,p__Bacillota_A
ERR1995245,p__Bacillota_A
ERR1995246,p__Bacillota_A
ERR1995256,p__Bacillota_A
ERR1995265,p__Bacillota_A
ERR1995266,p__Bacillota_A
ERR3404830,p__Firmicutes_A
ERR3404831,p__Firmicutes_A
ERR3405857,p__Firmicutes_A
ERR3405867,p__Firmicutes_A
ERR3405871,p__Firmicutes_A
ERR3405878,p__Firmicutes_A
ERR3405880,p__Firmicutes_A
ERR3405881,p__Firmicutes_A
ERR3405891,p__Firmicutes_A
ERR3405902,p__Firmicutes_A
ERR3405904,p__Firmicutes_A
ERR3405907,p__Firmicutes_A
ERR3405931,p__Firmicutes_A
ERR3406010,p__Firmicutes_A
ERR3406012,p__Firmicutes_A
ERR3406016,p__Firmicutes_A
ERR3406021,p__Firmicutes_A
ERR3406024,p__Firmicutes_A
ERR3406051,p__Firmicutes_A
ERR3406075,p__Firmicutes_A
ERR3406098,p__Firmicutes_A
ERR3406101,p__Firmicutes_A
ERR3406102,p__Firmicutes_A
ERR3406109,p__Firmicutes_A
ERR3406216,p__Firmicutes_A
ERR3406250,p__Firmicutes_A
ERR3406281,p__Firmicutes_A
ERR3406302,p__Firmicutes_A
ERR4283114,p__Bacillota_A
ERR4283115,p__Bacillota_A
ERR4283116,p__Bacillota_A
ERR4283117,p__Bacillota_A
ERR4283122,p__Bacillota_A
ERR4283124,p__Bacillota_A
ERR4283125,p__Bacillota_A
ERR4283127,p__Bacillota_A
ERR4283128,p__Bacillota_A
ERR4283130,p__Bacillota_A
ERR4283131,p__Bacillota_A
ERR4283133,p__Bacillota_A
ERR4283134,p__Bacillota_A
ERR4283135,p__Bacillota_A
ERR4283136,p__Bacillota_A
ERR4283138,p__Bacillota_A
ERR4283139,p__Bacillota_A
ERR4283140,p__Bacillota_A
ERR4283141,p__Bacillota_A
ERR4283143,p__Bacillota_A
ERR4283144,p__Bacillota_A
ERR4283146,p__Bacillota_A
ERR4283147,p__Bacillota_A
ERR4283149,p__Bacillota_A
ERR4283150,p__Bacillota_A
ERR4283152,p__Bacillota_A
ERR4283156,p__Bacillota_A
ERR4283157,p__Bacillota_A
ERR4283158,p__Bacillota_A
ERR4283159,p__Bacillota_A
ERR4283160,p__Bacillota_A
ERR4283161,p__Bacillota_A
ERR4283162,p__Bacillota_A
ERR4283163,p__Bacillota_A
ERR4283166,p__Bacillota_A
ERR4283167,p__Bacillota_A
ERR4283168,p__Bacillota_A
ERR4283169,p__Bacillota_A
ERR4283171,p__Bacillota_A
ERR4283172,p__Bacillota_A
ERR4283174,p__Bacillota_A
ERR4283175,p__Bacillota_A
ERR4283176,p__Bacillota_A
ERR4283177,p__Bacillota_A
ERR4283178,p__Bacillota_A
ERR4283179,p__Bacillota_A
ERR4283180,p__Bacillota_A
ERR4283182,p__Bacillota_A
ERR4283189,p__Bacillota_A
ERR4283190,p__Bacillota_A
ERR4283192,p__Bacillota_A
ERR4283193,p__Bacillota_A
ERR4283195,p__Bacillota_A
ERR4283196,p__Bacillota_A
ERR4283197,p__Bacillota_A
ERR4283198,p__Bacillota_A
ERR4283199,p__Bacillota_A
ERR4283200,p__Bacillota_A
ERR4283201,p__Bacillota_A
ERR4283202,p__Bacillota_A
ERR4283203,p__Bacillota_A
ERR4283204,p__Bacillota_A
ERR4283205,p__Bacillota_A
ERR4283206,p__Bacillota_A
ERR4283207,p__Bacillota_A
ERR4283208,p__Bacillota_A
ERR4283209,p__Bacillota_A
ERR4283210,p__Bacillota_A
ERR4283213,p__Bacillota_A
ERR4283215,p__Bacillota_A
ERR4283216,p__Bacillota_A
ERR4283217,p__Bacillota_A
ERR4283218,p__Bacillota_A
ERR4283219,p__Bacillota_A
ERR4283222,p__Bacillota_A
ERR4283223,p__Bacillota_A
ERR4283225,p__Bacillota_A
ERR4283227,p__Bacillota_A
ERR4283229,p__Bacillota_A
ERR4283231,p__Bacillota_A
ERR4283233,p__Bacillota_A
ERR4283235,p__Bacillota_A
ERR4283236,p__Bacillota_A
ERR4283238,p__Bacillota_A
ERR4283239,p__Bacillota_A
ERR4283240,p__Bacillota_A
ERR4283242,p__Bacillota_A
ERR4283243,p__Bacillota_A
ERR4283246,p__Bacillota_A
ERR4283247,p__Bacillota_A
ERR4283248,p__Bacillota_A
ERR4283249,p__Bacillota_A
ERR4283250,p__Bacillota_A
ERR4283251,p__Bacillota_A
ERR4283252,p__Bacillota_A
ERR4283254,p__Bacillota_A
ERR4283255,p__Bacillota_A
ERR4283256,p__Bacillota_A
ERR4283257,p__Bacillota_A
ERR4283258,p__Bacillota_A
ERR4283259,p__Bacillota_A
ERR4283262,p__Bacillota_A
ERR4283263,p__Bacillota_A
ERR4283265,p__Bacillota_A
ERR4283266,p__Bacillota_A
ERR4283267,p__Bacillota_A
ERR4283268,p__Bacillota_A
ERR4283269,p__Bacillota_A
ERR4283270,p__Bacillota_A
ERR4283272,p__Bacillota_A
ERR4283273,p__Bacillota_A
ERR4283274,p__Bacillota_A
ERR4283276,p__Bacillota_A
ERR4283278,p__Bacillota_A
ERR4283279,p__Bacillota_A
ERR4283281,p__Bacillota_A
ERR4283283,p__Bacillota_A
ERR4283284,p__Bacillota_A
ERR4283285,p__Bacillota_A
ERR4283286,p__Bacillota_A
ERR4283287,p__Bacillota_A
ERR4283288,p__Bacillota_A
ERR4283289,p__Bacillota_A
ERR4283290,p__Bacillota_A
ERR4283292,p__Bacillota_A
ERR4283293,p__Bacillota_A
ERR4283295,p__Bacillota_A
ERR4283296,p__Bacillota_A
ERR4283297,p__Bacillota_A
ERR4283298,p__Bacillota_A
ERR4283299,p__Bacillota_A
ERR4283300,p__Bacillota_A
ERR4283304,p__Bacillota_A
ERR4283305,p__Bacillota_A
ERR4283307,p__Bacillota_A
ERR4283308,p__Bacillota_A
ERR4283310,p__Bacillota_A
ERR4283312,p__Bacillota_A
ERR4283313,p__Bacillota_A
ERR4283314,p__Bacillota_A
ERR4283315,p__Bacillota_A
ERR4283316,p__Bacillota_A
ERR4283317,p__Bacillota_A
ERR4283318,p__Bacillota_A
ERR4283319,p__Bacillota_A
ERR4283321,p__Bacillota_A
ERR4283323,p__Bacillota_A
ERR4283329,p__Bacillota_A
ERR4283330,p__Bacillota_A
ERR4283331,p__Bacillota_A
ERR4283332,p__Bacillota_A
ERR4283333,p__Bacillota_A
ERR4283334,p__Bacillota_A
ERR4283335,p__Bacillota_A
ERR4283337,p__Bacillota_A
ERR4283338,p__Bacillota_A
ERR4283339,p__Bacillota_A
ERR4283345,p__Bacillota_A
ERR4283351,p__Bacillota_A
ERR4283353,p__Bacillota_A
ERR4283355,p__Bacillota_A
ERR4283356,p__Bacillota_A
ERR4283357,p__Bacillota_A
ERR4283360,p__Bacillota_A
ERR4283361,p__Bacillota_A
ERR4283365,p__Bacillota_A
ERR4283366,p__Bacillota_A
ERR4283368,p__Bacillota_A
ERR4283372,p__Bacillota_A
ERR4283373,p__Bacillota_A
ERR4283374,p__Bacillota_A
ERR4283378,p__Bacillota_A
ERR4283379,p__Bacillota_A
ERR4283382,p__Bacillota_A
ERR4283383,p__Bacillota_A
ERR4283386,p__Bacillota_A
ERR4283387,p__Bacillota_A
ERR4283389,p__Bacillota_A
ERR4283390,p__Bacillota_A
ERR4283391,p__Bacillota_A
ERR4283392,p__Bacillota_A
ERR4283393,p__Bacillota_A
ERR4283394,p__Bacillota_A
ERR4283395,p__Bacillota_A
ERR4283396,p__Bacillota_A
ERR4283398,p__Bacillota_A
ERR4283399,p__Bacillota_A
ERR4283400,p__Bacillota_A
ERR4283402,p__Bacillota_A
ERR4283403,p__Bacillota_A
ERR4283404,p__Bacillota_A
ERR4283407,p__Bacillota_A
ERR4283408,p__Bacillota_A
ERR4283410,p__Bacillota_A
ERR4283412,p__Bacillota_A
ERR4283416,p__Bacillota_A
ERR4283417,p__Bacillota_A
ERR4283418,p__Bacillota_A
ERR4283419,p__Bacillota_A
ERR4283420,p__Bacillota_A
ERR4283422,p__Bacillota_A
ERR4283424,p__Bacillota_A
ERR4283425,p__Bacillota_A
ERR4283426,p__Bacillota_A
ERR4283429,p__Bacillota_A
ERR4283431,p__Bacillota_A
ERR4283434,p__Bacillota_A
ERR4283435,p__Bacillota_A
ERR4283438,p__Bacillota_A
ERR4283439,p__Bacillota_A
ERR4283441,p__Bacillota_A
ERR4283442,p__Bacillota_A
ERR4283445,p__Bacillota_A
ERR4283446,p__Bacillota_A
ERR4283447,p__Bacillota_A
ERR4283448,p__Bacillota_A
ERR4283451,p__Bacillota_A
ERR4283455,p__Bacillota_A
ERR4283456,p__Bacillota_A
ERR4283457,p__Bacillota_A
ERR4283458,p__Bacillota_A
ERR4283460,p__Bacillota_A
ERR4283461,p__Bacillota_A
ERR4283465,p__Bacillota_A
ERR4283466,p__Bacillota_A
ERR4283467,p__Bacillota_A
ERR4283469,p__Bacillota_A
ERR4283470,p__Bacillota_A
ERR4283471,p__Bacillota_A
ERR4283472,p__Bacillota_A
ERR4283473,p__Bacillota_A
ERR4283474,p__Bacillota_A
ERR4283475,p__Bacillota_A
ERR4283476,p__Bacillota_A
ERR4283478,p__Bacillota_A
ERR4283479,p__Bacillota_A
ERR4283480,p__Bacillota_A
ERR4283481,p__Bacillota_A
ERR4283484,p__Bacillota_A
ERR4283485,p__Bacillota_A
ERR4283488,p__Bacillota_A
ERR4283490,p__Bacillota_A
ERR4283491,p__Bacillota_A
ERR4283492,p__Bacillota_A
ERR4283493,p__Bacillota_A
ERR525688,p__Bacillota_A
ERR525699,p__Bacillota_A
ERR525704,p__Bacillota_A
ERR525704,p__Firmicutes_A
ERR525706,p__Bacillota_A
ERR525712,p__Bacillota_A
ERR525714,p__Bacillota_A
ERR525714,p__Firmicutes_A
ERR525716,p__Bacillota_A
ERR525720,p__Bacillota_A
ERR525729,p__Bacillota_A
ERR525730,p__Firmicutes_A
ERR525730,p__Bacillota_A
ERR525737,p__Bacillota_A
ERR525741,p__Bacillota_A
ERR525742,p__Firmicutes_A
ERR525742,p__Bacillota_A
ERR525746,p__Bacillota_A
ERR525757,p__Bacillota_A
ERR525763,p__Bacillota_A
ERR525767,p__Bacillota_A
ERR525771,p__Bacillota_A
ERR525775,p__Bacillota_A
ERR525780,p__Bacillota_A
ERR525800,p__Firmicutes_A
ERR525800,p__Bacillota_A
ERR525801,p__Firmicutes_A
ERR525801,p__Bacillota_A
ERR525804,p__Bacillota_A
ERR525809,p__Bacillota_A
ERR525819,p__Bacillota_A
ERR525827,p__Bacillota_A
ERR525831,p__Bacillota_A
ERR525839,p__Bacillota_A
ERR525840,p__Bacillota_A
ERR525844,p__Firmicutes_A
ERR525844,p__Bacillota_A
ERR525851,p__Bacillota_A
ERR525852,p__Firmicutes_A
ERR525852,p__Bacillota_A
ERR525855,p__Bacillota_A
ERR525859,p__Bacillota_A
ERR525863,p__Bacillota_A
ERR525867,p__Bacillota_A
ERR525875,p__Bacillota_A
ERR525876,p__Bacillota_A
ERR525880,p__Bacillota_A
ERR525880,p__Firmicutes_A
ERR525884,p__Bacillota_A
ERR525886,p__Firmicutes_A
ERR525886,p__Bacillota_A
ERR525893,p__Bacillota_A
ERR525895,p__Bacillota_A
ERR525904,p__Bacillota_A
ERR525904,p__Firmicutes_A
ERR525908,p__Firmicutes_A
ERR525908,p__Bacillota_A
ERR525911,p__Bacillota_A
ERR525912,p__Bacillota_A
ERR525912,p__Firmicutes_A
ERR525915,p__Bacillota_A
ERR525916,p__Bacillota_A
ERR525923,p__Bacillota_A
ERR525928,p__Bacillota_A
ERR525931,p__Bacillota_A
ERR525935,p__Bacillota_A
ERR525950,p__Firmicutes_A
ERR525950,p__Bacillota_A
ERR525953,p__Bacillota_A
ERR525955,p__Bacillota_A
ERR525960,p__Bacillota_A
ERR525960,p__Firmicutes_A
ERR525964,p__Firmicutes_A
ERR525964,p__Bacillota_A
ERR525975,p__Bacillota_A
ERR525976,p__Bacillota_A
ERR526003,p__Bacillota_A
ERR526008,p__Firmicutes_A
ERR526008,p__Bacillota_A
ERR526019,p__Bacillota_A
ERR526024,p__Firmicutes_A
ERR526024,p__Bacillota_A
ERR526027,p__Bacillota_A
ERR526032,p__Bacillota_A
ERR526032,p__Firmicutes_A
ERR526040,p__Bacillota_A
ERR526040,p__Firmicutes_A
ERR526047,p__Bacillota_A
ERR526048,p__Bacillota_A
ERR526048,p__Firmicutes_A
ERR526050,p__Bacillota_A
ERR526067,p__Bacillota_A
ERR526068,p__Bacillota_A
ERR526070,p__Firmicutes_A
ERR526070,p__Bacillota_A
ERR526075,p__Bacillota_A
ERR526079,p__Bacillota_A
ERR526080,p__Bacillota_A
ERR7671876,p__Bacillota_A
ERR7671877,p__Bacillota_A
ERR7671878,p__Bacillota_A
ERR7671882,p__Bacillota_A
ERR7671891,p__Bacillota_A
ERR7671926,p__Bacillota_A
ERR7671933,p__Bacillota_A
ERR7671935,p__Bacillota_A
ERR7671936,p__Bacillota_A
ERR7671937,p__Bacillota_A
ERR7671942,p__Bacillota_A
ERR7671944,p__Bacillota_A
ERR7671952,p__Bacillota_A
ERR7671955,p__Bacillota_A
ERR7671959,p__Bacillota_A
ERR7671962,p__Bacillota_A
ERR7671966,p__Bacillota_A
ERR7671968,p__Bacillota_A
ERR7671969,p__Bacillota_A
SRR12137091,p__Bacillota_A
SRR12137102,p__Bacillota_A
SRR12137103,p__Bacillota_A
SRR12137104,p__Bacillota_A
SRR12137107,p__Bacillota_A
SRR12137115,p__Bacillota_A
SRR12137116,p__Bacillota_A
SRR12137118,p__Bacillota_A
SRR12442179,p__Bacillota_A
SRR12557714,p__Bacillota_A
SRR12557725,p__Bacillota_A
SRR12672286,p__Bacillota_A
SRR12672298,p__Bacillota_A
SRR13077667,p__Bacillota_A
SRR13077673,p__Bacillota_A
SRR13077674,p__Bacillota_A
SRR13077674,p__Bacillota_A
SRR13077677,p__Bacillota_A
SRR13077679,p__Bacillota_A
SRR13077683,p__Bacillota_A
SRR13077684,p__Bacillota_A
SRR13077692,p__Bacillota_A
SRR13077702,p__Bacillota_A
SRR13077708,p__Bacillota_A
SRR13077728,p__Bacillota_A
SRR13077746,p__Bacillota_A
SRR13077747,p__Bacillota_A
SRR13077750,p__Bacillota_A
SRR13077751,p__Bacillota_A
SRR13077765,p__Bacillota_A
SRR13077768,p__Bacillota_A
SRR13077792,p__Bacillota_A
SRR13077808,p__Bacillota_A
SRR13077835,p__Bacillota_A
SRR13077836,p__Bacillota_A
SRR13077843,p__Bacillota_A
SRR13077846,p__Bacillota_A
SRR13077849,p__Bacillota_A
SRR13077856,p__Bacillota_A
SRR13077860,p__Bacillota_A
SRR13077879,p__Bacillota_A
SRR13077888,p__Bacillota_A
SRR13077901,p__Bacillota_A
SRR13077903,p__Bacillota_A
SRR13077909,p__Bacillota_A
SRR13077915,p__Bacillota_A
SRR14000770,p__Bacillota_A
SRR14000782,p__Bacillota_A
SRR14000802,p__Bacillota_A
SRR14000813,p__Bacillota_A
SRR14000821,p__Bacillota_A
SRR14000826,p__Bacillota_A
SRR14000827,p__Bacillota_A
SRR14000838,p__Bacillota_A
SRR14000842,p__Bacillota_A
SRR14000852,p__Bacillota_A
SRR14000877,p__Bacillota_A
SRR14000908,p__Bacillota_A
SRR14000926,p__Bacillota_A
SRR14000929,p__Bacillota_A
SRR14000933,p__Bacillota_A
SRR14000937,p__Bacillota_A
SRR14000938,p__Bacillota_A
SRR14000939,p__Bacillota_A
SRR14000940,p__Bacillota_A
SRR14000957,p__Bacillota_A
SRR14000967,p__Bacillota_A
SRR14000989,p__Bacillota_A
SRR14000998,p__Bacillota_A
SRR14001004,p__Bacillota_A
SRR14001007,p__Bacillota_A
SRR14001016,p__Bacillota_A
SRR14001020,p__Bacillota_A
SRR14001033,p__Bacillota_A
SRR14001059,p__Bacillota_A
SRR14001073,p__Bacillota_A
SRR14001074,p__Bacillota_A
SRR14001082,p__Bacillota_A
SRR14001094,p__Bacillota_A
SRR14001100,p__Bacillota_A
SRR14017315,p__Bacillota_A
SRR14017327,p__Bacillota_A
SRR14017333,p__Bacillota_A
SRR14017341,p__Bacillota_A
SRR14017345,p__Bacillota_A
SRR14017365,p__Bacillota_A
SRR14017377,p__Bacillota_A
SRR14017378,p__Bacillota_A
SRR14017379,p__Bacillota_A
SRR14017385,p__Bacillota_A
SRR14017389,p__Bacillota_A
SRR14017395,p__Bacillota_A
SRR14017410,p__Bacillota_A
SRR14017411,p__Bacillota_A
SRR14017424,p__Bacillota_A
SRR14017430,p__Bacillota_A
SRR14017432,p__Bacillota_A
SRR14017454,p__Bacillota_A
SRR14017455,p__Bacillota_A
SRR14017462,p__Bacillota_A
SRR14017464,p__Bacillota_A
SRR14017480,p__Bacillota_A
SRR14017482,p__Bacillota_A
SRR14017492,p__Bacillota_A
SRR14017495,p__Bacillota_A
SRR14017500,p__Bacillota_A
SRR14017510,p__Bacillota_A
SRR14017520,p__Bacillota_A
SRR14017525,p__Bacillota_A
SRR14017527,p__Bacillota_A
SRR14017530,p__Bacillota_A
SRR14017532,p__Bacillota_A
SRR14017534,p__Bacillota_A
SRR14017552,p__Bacillota_A
SRR14017558,p__Bacillota_A
SRR14017559,p__Bacillota_A
SRR14017574,p__Bacillota_A
SRR14017579,p__Bacillota_A
SRR14017603,p__Bacillota_A
SRR14017611,p__Bacillota_A
SRR14355320,p__Bacillota_A
SRR14355334,p__Bacillota_A
SRR14355372,p__Bacillota_A
SRR14355373,p__Bacillota_A
SRR14355408,p__Bacillota_A
SRR14355428,p__Bacillota_A
SRR14355430,p__Bacillota_A
SRR14693200,p__Bacillota_A
SRR14693203,p__Bacillota_A
SRR14693212,p__Bacillota_A
SRR14693214,p__Bacillota_A
SRR14693216,p__Bacillota_A
SRR14693217,p__Bacillota_A
SRR14693229,p__Bacillota_A
SRR14693230,p__Bacillota_A
SRR15910055,p__Bacillota_A
SRR15910056,p__Bacillota_A
SRR15910061,p__Bacillota_A
SRR15910063,p__Bacillota_A
SRR15910065,p__Bacillota_A
SRR15910066,p__Bacillota_A
SRR15910067,p__Bacillota_A
SRR15910068,p__Bacillota_A
SRR15910071,p__Bacillota_A
SRR15910072,p__Bacillota_A
SRR15910079,p__Bacillota_A
SRR15910080,p__Bacillota_A
SRR15910082,p__Bacillota_A
SRR16124184,p__Bacillota_A
SRR16124253,p__Bacillota_A
SRR16124285,p__Bacillota_A
SRR16124324,p__Bacillota_A
SRR16124332,p__Bacillota_A
SRR16124334,p__Bacillota_A
SRR16124348,p__Bacillota_A
SRR16124361,p__Bacillota_A
SRR17648355,p__Bacillota_A
SRR17648358,p__Bacillota_A
SRR17648366,p__Bacillota_A
SRR17648367,p__Bacillota_A
SRR17648373,p__Bacillota_A
SRR17648376,p__Bacillota_A
SRR17648384,p__Bacillota_A
SRR17648387,p__Bacillota_A
SRR17648388,p__Bacillota_A
SRR17648392,p__Bacillota_A
SRR17648393,p__Bacillota_A
SRR17648394,p__Bacillota_A
SRR17648395,p__Bacillota_A
SRR17648397,p__Bacillota_A
SRR17648401,p__Bacillota_A
SRR17648405,p__Bacillota_A
SRR17648408,p__Bacillota_A
SRR17648413,p__Bacillota_A
SRR17648414,p__Bacillota_A
SRR17648417,p__Bacillota_A
SRR17648422,p__Bacillota_A
